,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
15066,752,G,Enterpreneurial Activities,0,Male,55,Married,Worked for government/government corporation,Single Family,3,0,0,1,Single house,Strong,400,20,6,1,3389330,185208,32349,15270,13840,19266,16779,7270,53450,0,0,11900,168630,108000,556300,201600,39000,153720,78918,0,0,2274000,3,1,1,1,1,3,2,1,6,3,1,0,0
35059,2805,N,Enterpreneurial Activities,2,Male,54,Married,Worked for private establishment,Single Family,4,0,0,2,Single house,Strong,150,17,2,1,3320300,242764,34656,24916,46416,22894,15868,10716,37700,0,910,40247,291558,120000,30572,75546,83994,301800,58614,0,0,2500000,2,1,0,1,1,3,2,1,4,2,0,0,1
29077,1508,L,Other sources of Income,0,Male,67,Married,,Extended Family,4,0,1,2,Single house,Strong,63,32,3,0,3294322,65424,21402,13182,10836,10446,1680,7360,2860,6754,0,6130,47748,24000,4140,6000,6120,114500,43314,29000,0,0,1,0,0,1,0,0,0,0,4,0,1,0,1
14276,3199,F,Enterpreneurial Activities,2,Male,54,Married,Employer in own family-operated farm or business,Extended Family,5,0,2,0,Single house,Strong,120,11,3,1,3255355,185643,23254,12844,21220,21128,4585,3072,86000,1690,0,11710,69636,30000,5520,25260,7200,8150,29256,22500,0,3223840,1,0,1,1,1,0,1,0,3,2,1,0,4
35999,3745,N,Wage/Salaries,2,Male,63,Married,Self-employed wihout any employee,Extended Family,7,0,0,5,Single house,Strong,150,45,4,1,3232680,569033,27551,14807,41783,33050,15682,14637,381806,1647,9050,15679,1168878,600000,17171,240000,61182,0,110370,7000,0,857800,2,2,1,1,1,5,4,1,7,4,0,0,1
27181,2058,K,Other sources of Income,0,Male,56,Married,Employer in own family-operated farm or business,Single Family,4,0,1,0,Single house,Strong,115,10,5,1,3228664,201090,60943,31052,43448,19452,9785,17965,14550,1170,650,15730,99750,60000,1900,82494,6552,250500,71988,25000,521260,681160,2,2,1,1,1,1,1,0,4,4,1,0,2
18962,2429,H,Other sources of Income,0,Female,45,Married,Worked for government/government corporation,Single Family,4,1,0,3,Single house,Strong,300,41,3,1,3220231,262425,35049,18300,27237,15775,12880,11998,64300,0,0,53560,191730,141000,67697,156798,15600,0,68046,33900,0,9298,1,1,1,1,2,1,1,0,6,1,1,0,1
38668,1035,P,Enterpreneurial Activities,0,Male,50,Married,Employer in own family-operated farm or business,Single Family,2,0,0,0,Multi-unit residential,Strong,320,20,4,1,3168662,83277,20379,16255,11110,12683,1312,2103,25840,13254,0,29100,468450,120000,20712,82698,47274,700000,61320,127000,0,1662160,2,2,1,2,2,4,3,2,2,4,2,0,0
20608,4075,H,Other sources of Income,0,Female,69,Married,Self-employed wihout any employee,Extended Family,4,0,2,1,Single house,Strong,80,0,3,1,3083500,206224,45974,27180,37650,18738,11688,12288,41880,0,0,7665,107040,60000,27063,16374,27492,87400,28038,12000,0,49000,4,1,1,1,1,2,0,0,4,2,0,0,1
18941,2408,H,Other sources of Income,0,Male,66,Married,,Single Family,3,0,0,2,Single house,Strong,94,28,3,1,3037649,192043,15756,10008,42088,12172,8567,8407,97760,0,0,7880,67500,42000,6211,46938,23700,0,53682,48000,0,0,2,1,1,1,1,2,1,1,4,3,1,0,1
35568,3314,N,Other sources of Income,2,Female,76,Married,,Single Family,2,0,0,1,Duplex,Strong,200,18,3,1,3036040,142524,16447,6120,11525,5156,13163,5377,61900,658,1820,7500,1321248,960000,18250,42096,23532,0,143880,0,0,0,1,1,1,2,1,4,1,1,2,4,0,0,0
35856,3602,N,Other sources of Income,2,Female,63,Widowed,,Extended Family,4,0,0,2,Single house,Strong,200,20,5,1,3014640,289845,54062,46735,31045,16498,4844,8964,108870,5412,29865,6500,1403310,1200000,713640,208002,23094,164000,112596,18500,0,0,3,3,2,2,1,4,3,1,3,2,1,0,0
35590,3336,N,Other sources of Income,2,Male,74,Married,Worked for government/government corporation,Single Family,7,0,0,2,Single house,Strong,150,10,4,1,2996724,180309,47450,16437,29900,13508,9030,12641,33700,0,0,45841,1458300,1200000,47502,188094,63594,23000,32322,8650,0,0,5,2,1,2,1,1,2,2,7,2,1,0,0
33111,857,N,Enterpreneurial Activities,2,Male,49,Married,Employer in own family-operated farm or business,Single Family,3,0,0,1,Multi-unit residential,Strong,60,12,2,1,2950378,324146,35977,21112,31895,16658,13395,10140,175200,0,0,84130,327060,0,11895,160920,45600,65000,62658,20000,0,1560120,2,2,0,1,1,3,1,1,5,4,0,0,0
23160,2465,I,Enterpreneurial Activities,0,Female,63,Widowed,Self-employed wihout any employee,Extended Family,6,0,2,0,Single house,Strong,30,23,2,1,2908383,226616,83227,28135,20328,54944,710,12752,9660,0,13980,9325,98658,24000,4142,40818,19896,29210,6312,5700,0,2791233,1,1,1,1,0,0,0,0,6,0,0,0,3
36655,271,O,Enterpreneurial Activities,0,Male,77,Married,,Extended Family,5,0,1,0,Single house,Strong,89,40,3,1,2891788,198391,22886,19656,37580,19406,15820,11360,15150,0,1040,16515,104322,51000,3000,27780,16476,2850,10464,6000,0,2838278,3,1,1,1,1,1,0,0,4,1,1,0,1
33530,1276,N,Wage/Salaries,2,Female,90,Widowed,,Extended Family,8,0,0,4,Single house,Strong,100,63,3,1,2887946,262768,34298,30000,34733,24984,4120,5130,137640,0,0,19647,508920,300000,57562,73146,65598,43500,141126,24500,0,0,1,0,1,1,1,1,1,1,0,4,1,0,0
25761,638,K,Other sources of Income,0,Male,56,Married,,Extended Family,5,0,1,1,Single house,Strong,45,25,3,1,2829500,106692,28881,25356,9618,12809,3357,3972,22578,1950,0,18250,115692,90000,60,12492,17202,35000,56844,52000,0,34620,1,1,1,1,1,1,2,1,4,1,0,0,1
18501,1968,H,Wage/Salaries,0,Male,34,Married,Worked for private establishment,Single Family,7,1,4,2,Single house,Strong,120,20,5,1,2828960,390361,67604,29400,70564,32680,13735,12620,98860,1476,2715,30950,365580,180000,7586,396540,49980,200600,75006,105000,0,121000,4,2,1,3,1,2,5,1,0,3,1,0,0
34929,2675,N,Other sources of Income,2,Male,64,Married,Employer in own family-operated farm or business,Single Family,5,1,0,0,Single house,Strong,106,35,2,1,2825958,311305,19079,9264,29739,46103,15970,14169,120750,7608,5904,15608,232860,90000,236505,53094,34116,0,72444,104150,0,364880,3,0,1,2,1,2,1,1,4,2,1,0,0
14396,82,G,Enterpreneurial Activities,0,Female,52,Widowed,Employer in own family-operated farm or business,Single Family,4,0,1,2,Single house,Strong,96,25,4,1,2811580,136402,32003,20220,24074,16962,6963,10116,25960,0,0,5740,98940,72000,3010,31620,8700,40600,27780,15000,43320,2402220,1,0,1,1,1,2,1,0,4,2,0,0,1
11173,96,F,Other sources of Income,0,Female,45,Married,Self-employed wihout any employee,Single Family,3,0,1,0,Single house,Strong,280,18,5,1,2797276,179751,34139,21140,40676,20791,7306,9632,38350,0,0,113900,203220,90000,25862,78000,60204,669400,62412,29500,0,848524,2,2,1,3,2,4,2,0,1,4,1,0,0
29906,2337,L,Other sources of Income,2,Male,65,Married,Self-employed wihout any employee,Extended Family,6,0,3,0,Single house,Strong,150,45,3,1,2693813,169334,55143,37648,7780,34650,10092,10708,27410,0,0,17750,292680,258000,41304,81102,12492,42550,14034,300000,0,549488,1,1,1,4,1,3,1,1,5,4,2,0,2
33469,1215,N,Enterpreneurial Activities,2,Male,60,Married,Employer in own family-operated farm or business,Single Family,7,0,1,0,Duplex,Strong,100,15,4,1,2667400,326859,35525,27600,25766,15310,8354,4940,201900,0,0,14150,201660,150000,8424,75996,34200,60600,97398,0,0,1387900,2,1,1,1,1,2,2,1,6,6,1,0,0
4658,1152,C,Other sources of Income,0,Male,58,Married,Worked for government/government corporation,Single Family,6,0,0,3,Single house,Strong,240,6,4,1,2665970,297221,44474,23280,60225,82289,8903,18858,25600,5612,780,50800,616392,480000,3750,539004,47382,26000,54366,15700,0,0,1,1,0,2,1,3,1,1,4,3,1,0,0
35598,3344,N,Enterpreneurial Activities,2,Female,50,Divorced/Separated,Employer in own family-operated farm or business,Single Family,2,0,0,0,Single house,Strong,30,4,3,1,2659252,149088,13606,4940,23939,18290,11708,15380,19200,3360,0,9790,589680,480000,5150,38046,32346,0,42054,16800,0,1993222,3,1,1,1,0,3,2,1,2,1,1,0,0
24537,1301,J,Enterpreneurial Activities,0,Male,58,Married,Self-employed wihout any employee,Single Family,4,0,1,0,Single house,Strong,70,15,3,1,2598050,224002,34452,20493,49988,34816,6601,10836,15540,2934,0,43898,127200,72000,31076,208404,37770,20000,67410,10000,0,2025250,1,0,0,1,0,2,2,1,4,1,1,0,0
35478,3224,N,Other sources of Income,2,Male,53,Single,Worked for private establishment,Extended Family,8,0,0,2,Single house,Strong,150,55,5,1,2573616,266652,33303,13550,25072,44174,6589,8822,113350,6362,1950,18354,1308180,1200000,5057,45576,31308,0,36138,0,0,0,4,2,1,1,1,5,4,1,3,1,1,0,0
2249,525,B,Other sources of Income,0,Male,56,Divorced/Separated,,Single Family,1,0,0,0,Single house,Strong,108,53,3,1,2572904,83588,282,0,0,0,600,0,76260,0,13032,8775,32580,24000,255,67992,3600,0,10284,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
32392,138,N,Wage/Salaries,0,Male,56,Married,Worked for government/government corporation,Extended Family,6,0,2,4,Multi-unit residential,Strong,96,34,3,1,2557636,424659,52364,22800,73558,18244,14524,6828,209250,1500,11222,20565,193440,126000,22307,94818,41994,24000,114588,18000,0,230000,3,3,1,1,1,3,2,1,4,3,1,0,2
35884,3630,N,Wage/Salaries,2,Male,54,Married,Worked for private establishment,Extended Family,5,1,0,4,Single house,Strong,540,29,5,1,2547548,377451,47452,32472,44690,27326,5962,14967,174600,1169,0,21429,510600,360000,5834,57870,72900,0,76644,8600,0,459028,3,0,0,1,1,3,2,0,4,0,0,0,2
36663,279,O,Enterpreneurial Activities,0,Male,63,Married,Employer in own family-operated farm or business,Single Family,4,0,1,0,Single house,Strong,126,61,4,1,2546912,229260,36740,36600,71100,24252,20880,16630,13080,2100,0,43300,150060,51000,1830,20280,14100,110220,7416,25000,0,2350042,1,0,0,1,0,1,1,0,1,0,0,0,0
37417,1033,O,Wage/Salaries,0,Male,69,Married,Worked for government/government corporation,Extended Family,11,2,2,4,Single house,Strong,40,33,2,1,2543540,291240,63591,47060,42635,30613,21377,27819,36500,5250,0,89150,159420,78000,66659,458100,33600,5230,47922,34000,0,1120345,1,1,1,2,1,0,1,0,10,3,2,0,1
26026,903,K,Other sources of Income,0,Male,80,Married,,Extended Family,12,3,3,1,Single house,Strong,90,35,6,1,2540380,522836,82060,40960,110964,45158,27704,10252,184720,1836,0,22600,424320,180000,139878,101124,57792,14900,91332,25000,0,0,4,1,1,1,1,3,1,1,5,6,1,0,0
27624,55,L,Enterpreneurial Activities,0,Male,49,Married,Worked for government/government corporation,Extended Family,7,1,1,2,Single house,Strong,100,21,4,1,2513000,309756,49503,34000,71936,60734,13100,10763,10600,0,0,75290,193356,150000,9405,59040,41520,27300,95502,29000,0,1433000,3,2,1,3,2,0,1,0,7,4,0,0,4
3491,1767,B,Wage/Salaries,0,Male,60,Married,Worked for government/government corporation,Extended Family,5,0,0,3,Single house,Strong,56,35,4,1,2507000,165141,42850,35100,20700,20838,6975,8885,0,720,0,17043,213372,90000,4800,33360,37800,0,184296,12000,0,917000,2,2,2,1,1,2,1,0,5,1,1,0,2
16911,378,H,Enterpreneurial Activities,1,Male,51,Married,Self-employed wihout any employee,Single Family,5,0,1,1,Single house,Strong,50,15,4,1,2504326,105559,20981,14760,8460,5695,1992,3060,43020,0,0,26550,103602,72000,17680,49758,7500,105200,19494,60000,0,2281500,1,1,0,2,1,2,2,0,5,2,1,0,0
35593,3339,N,Other sources of Income,2,Male,69,Married,Worked for private establishment,Single Family,7,0,0,2,Single house,Strong,100,11,5,1,2500000,603187,52788,18100,104945,62020,24590,33268,218800,1986,0,44394,1330050,1080000,25660,62064,65370,0,65880,2100,0,0,4,4,1,2,1,2,3,4,4,3,1,0,0
35591,3337,N,Enterpreneurial Activities,2,Male,39,Single,Employer in own family-operated farm or business,Single Family,1,0,0,0,Duplex,Strong,200,15,2,1,2491983,145545,13565,9346,16183,10321,5425,10815,58406,1674,13575,11017,1468476,960000,4269,36738,34782,0,51000,250,0,1290000,2,1,1,1,1,2,1,1,1,2,1,0,0
34047,1793,N,Wage/Salaries,2,Male,60,Married,Worked for private establishment,Single Family,6,0,0,5,Multi-unit residential,Strong,200,22,3,1,2479020,456465,37779,24560,65677,23820,11456,7911,229740,750,0,40855,463080,0,12258,115662,42138,83267,132384,13000,0,739800,2,1,1,1,1,3,1,1,8,5,1,0,0
38516,883,P,Enterpreneurial Activities,0,Male,50,Married,Employer in own family-operated farm or business,Single Family,5,0,1,1,Single house,Strong,90,18,5,1,2461752,202151,38872,24600,32014,16933,19840,5660,39800,588,1425,24568,204252,72000,2496,66990,71394,44368,124206,50000,0,2174642,4,1,2,2,1,3,1,4,4,2,2,0,0
35909,3655,N,Other sources of Income,2,Male,78,Married,,Extended Family,6,1,1,1,Single house,Strong,450,45,6,1,2456090,211028,32508,14010,30372,14210,5782,5254,56656,0,0,81222,836094,600000,77522,242220,55758,97430,49470,18400,0,581525,3,2,1,1,2,4,3,1,4,4,1,0,0
24089,853,J,Enterpreneurial Activities,0,Male,59,Married,Worked for government/government corporation,Single Family,4,0,0,1,Single house,Strong,70,7,2,1,2442281,190090,53357,25800,33312,23932,3779,9610,33950,210,0,5166,238110,120000,4299,128130,36090,18600,66636,49300,64750,2099681,3,3,1,2,1,3,2,0,7,4,2,0,1
35594,3340,N,Other sources of Income,2,Female,55,Married,Employer in own family-operated farm or business,Single Family,8,0,0,1,Single house,Strong,40,15,3,1,2439200,336360,43761,9000,33678,23705,15766,21000,157320,4503,0,40610,1155648,1020000,16780,45726,53388,0,73692,44100,539200,539200,2,1,1,1,1,2,2,1,3,3,1,0,0
19146,2613,H,Wage/Salaries,0,Male,37,Married,Worked for private establishment,Extended Family,5,1,1,1,Single house,Strong,120,34,3,1,2434521,304121,30523,15964,60692,34120,14590,5735,52330,1000,13575,62610,108726,60000,122983,39600,94206,34000,31662,30000,0,650019,4,2,0,1,1,2,1,1,5,6,2,0,0
14425,111,G,Other sources of Income,0,Male,65,Married,Employer in own family-operated farm or business,Extended Family,8,1,1,1,Single house,Strong,70,33,5,1,2432950,166387,68177,61600,27932,13520,1776,4422,11700,2888,7240,29791,77820,42000,56110,40788,19200,3300,9360,8600,118930,259330,2,0,0,1,1,1,1,0,8,1,1,0,2
34574,2320,N,Enterpreneurial Activities,2,Male,46,Married,Employer in own family-operated farm or business,Single Family,5,0,1,4,Single house,Strong,100,8,4,1,2429796,300592,37600,22208,23328,42106,16642,9760,128300,730,0,71865,143610,111000,21884,145200,74394,34250,58374,22000,0,1838796,2,2,2,2,2,4,1,1,4,5,1,0,1
18525,1992,H,Other sources of Income,0,Female,65,Married,Self-employed wihout any employee,Extended Family,6,0,2,3,Single house,Strong,120,35,4,1,2424310,434908,34657,18060,71900,35908,20067,21438,169160,840,0,30360,256362,180000,106795,133398,92394,55000,60882,50000,0,649760,5,3,1,2,2,3,4,0,8,5,0,0,0
32455,201,N,Other sources of Income,0,Male,59,Single,,Single Family,2,0,0,0,Single house,Strong,180,3,3,1,2409200,90039,13486,6182,20033,11328,7143,6677,16200,0,11640,11060,310356,240000,139588,22602,6720,0,58290,31130,0,0,4,1,1,2,1,3,1,0,0,0,1,0,0
36156,3902,N,Enterpreneurial Activities,2,Male,55,Married,Self-employed wihout any employee,Single Family,5,0,0,3,Single house,Strong,40,22,3,1,2393827,382404,33191,17250,89189,15633,10544,8777,182150,59592,7138,69916,185328,108000,32976,81762,48006,0,73152,12200,0,1373800,2,1,0,1,1,1,0,1,6,3,1,0,1
21869,1174,I,Enterpreneurial Activities,0,Male,56,Married,Self-employed wihout any employee,Single Family,2,0,0,1,Single house,Strong,160,17,3,1,2369220,162975,21849,16050,30383,14078,2248,4696,69000,0,0,112100,230256,180000,7160,168192,55776,0,71994,118000,0,1720400,2,2,1,1,0,3,3,1,4,5,1,0,0
12245,1168,F,Enterpreneurial Activities,1,Male,63,Married,Employer in own family-operated farm or business,Extended Family,11,1,3,2,Single house,Strong,100,5,2,1,2366160,393583,67364,38100,91792,50384,5395,14115,74928,0,19910,21670,65880,12000,51600,12480,8400,76100,39852,2500,1370800,1392400,1,0,1,1,1,2,1,0,7,4,1,0,2
460,461,A,Enterpreneurial Activities,0,Male,52,Married,Employer in own family-operated farm or business,Extended Family,11,2,2,2,Single house,Strong,150,18,6,1,2355252,273024,62090,35200,43823,35054,8695,13940,53860,25444,1448,41719,119484,90000,19500,89592,20820,54520,36966,18000,0,2008280,1,0,0,1,1,0,5,0,9,5,1,0,0
34054,1800,N,Wage/Salaries,2,Male,49,Married,Worked for private establishment,Single Family,4,0,0,3,Single house,Strong,600,55,6,1,2350000,249642,28394,15860,30602,11200,9636,8556,109252,0,1560,34425,1004160,840000,11404,131700,49794,75000,61110,15000,0,0,4,3,1,1,1,2,5,1,4,3,1,0,0
